調教師,race_pace,件数,勝率,複勝率
西村真幸,やや速い,403,0.10829493087557604,0.26036866359447003
石坂正,やや速い,270,0.07612456747404844,0.25951557093425603
田村康仁,やや速い,324,0.09510086455331412,0.25936599423631124
池上昌弘,やや速い,60,0.11290322580645161,0.25806451612903225
河内洋,やや速い,332,0.07418397626112759,0.2551928783382789
角田晃一,やや速い,341,0.05507246376811594,0.25507246376811593
萩原清,やや速い,230,0.09716599190283401,0.2550607287449393
清水久詞,やや速い,502,0.07224334600760456,0.25475285171102663
藤岡健一,やや速い,374,0.08661417322834646,0.2545931758530184
高橋亮,やや速い,334,0.06896551724137931,0.25287356321839083
荒川義之,やや速い,314,0.08256880733944955,0.25076452599388377
昆貢,やや速い,315,0.09846153846153846,0.24615384615384617
高木登,やや速い,364,0.10335917312661498,0.2454780361757106
鹿戸雄一,やや速い,317,0.08841463414634146,0.24390243902439024
宗像義忠,やや速い,292,0.059375,0.24375
南井克巳,やや速い,385,0.09024390243902439,0.24146341463414633
古賀慎明,やや速い,297,0.05787781350482315,0.24115755627009647
手塚貴久,やや速い,389,0.0819277108433735,0.24096385542168675
武英智,やや速い,272,0.08243727598566308,0.24014336917562723
中竹和也,やや速い,413,0.09090909090909091,0.23776223776223776
北出成人,やや速い,290,0.08881578947368421,0.23684210526315788
岩戸孝樹,やや速い,322,0.059880239520958084,0.23652694610778444
笹田和秀,やや速い,264,0.06060606060606061,0.23484848484848486
加藤士津,やや速い,171,0.061452513966480445,0.2346368715083799
池添兼雄,やや速い,273,0.06859205776173286,0.23104693140794225
栗田徹,やや速い,316,0.09202453987730061,0.23006134969325154
菊沢隆徳,やや速い,305,0.07119741100323625,0.2297734627831715
松下武士,やや速い,314,0.0856269113149847,0.22935779816513763
矢作芳人,やや速い,662,0.07746478873239436,0.2267605633802817
寺島良,やや速い,402,0.07932692307692307,0.22596153846153846
鮫島一歩,やや速い,349,0.06887052341597796,0.22589531680440772
渡辺薫彦,やや速い,292,0.07744107744107744,0.2255892255892256
中尾秀正,やや速い,272,0.08727272727272728,0.22545454545454546
西園正都,やや速い,443,0.0728051391862955,0.22483940042826553
沖芳夫,やや速い,96,0.061224489795918366,0.22448979591836735
杉山佳明,やや速い,151,0.06369426751592357,0.2229299363057325
加用正,やや速い,326,0.069164265129683,0.2219020172910663
上村洋行,やや速い,152,0.11038961038961038,0.22077922077922077
和田正一,やや速い,211,0.06422018348623854,0.22018348623853212
松永昌博,やや速い,293,0.07540983606557378,0.21967213114754097
伊藤圭三,やや速い,334,0.07514450867052024,0.21965317919075145
新谷功一,やや速い,168,0.08426966292134831,0.21910112359550563
橋田満,やや速い,247,0.06746031746031746,0.21825396825396826
高橋義忠,やや速い,293,0.0711864406779661,0.21694915254237288
中舘英二,やや速い,259,0.11194029850746269,0.21641791044776118
高橋文雅,やや速い,255,0.04477611940298507,0.21641791044776118
