騎手,場所,芝・ダ,距離,ペース型,騎乗数,勝利数,複勝数,平均着順,平均4角率,勝率,複勝率
宮崎北斗,中山,ダ,1200,ハイ/持続,48,4,10,8.041666666666666,0.41486855158730157,8.333333333333332,20.833333333333336
菅原明良,中山,ダ,1200,ハイ/持続,175,12,34,7.577142857142857,0.4764542838114266,6.857142857142858,19.428571428571427
丸田恭介,中山,ダ,1200,ハイ/持続,121,5,23,8.611570247933884,0.5580646626101171,4.132231404958678,19.00826446280992
津村明秀,中山,ダ,1200,ハイ/持続,237,10,45,8.10548523206751,0.46387954520865915,4.219409282700422,18.9873417721519
吉田豊,中山,ダ,1200,ハイ/持続,155,14,29,7.574193548387097,0.5589068458423296,9.032258064516128,18.70967741935484
吉田隼人,中山,ダ,1200,ハイ/持続,66,4,12,8.545454545454545,0.4875561938061938,6.0606060606060606,18.181818181818183
内田博幸,中山,ダ,1200,ハイ/持続,266,15,48,8.289473684210526,0.5186980312920163,5.639097744360902,18.045112781954884
石川裕紀,中山,ダ,1200,ハイ/持続,179,10,32,8.312849162011172,0.5341499515382196,5.58659217877095,17.877094972067038
原優介,中山,ダ,1200,ハイ/持続,118,5,21,8.932203389830509,0.5488304774321723,4.23728813559322,17.796610169491526
勝浦正樹,中山,ダ,1200,ハイ/持続,96,6,17,8.947916666666666,0.457596440018315,6.25,17.708333333333336
伊藤工真,中山,ダ,1200,ハイ/持続,36,2,6,8.0,0.5655512311762312,5.555555555555555,16.666666666666664
丸山元気,中山,ダ,1200,ハイ/持続,134,3,22,8.201492537313433,0.49281682248100156,2.2388059701492535,16.417910447761194
蛯名正義,中山,ダ,1200,ハイ/持続,61,4,10,8.475409836065573,0.5036134630396926,6.557377049180328,16.39344262295082
西田雄一,中山,ダ,1200,ハイ/持続,37,1,6,9.594594594594595,0.508478120978121,2.7027027027027026,16.216216216216218
小林脩斗,中山,ダ,1200,ハイ/持続,81,5,13,9.135802469135802,0.4654931488264822,6.172839506172839,16.049382716049383
田中勝春,中山,ダ,1200,ハイ/持続,110,6,17,8.090909090909092,0.6067965367965369,5.454545454545454,15.454545454545453
小林勝太,中山,ダ,1200,ハイ/持続,26,2,4,8.461538461538462,0.4778846153846154,7.6923076923076925,15.384615384615385
丹内祐次,中山,ダ,1200,ハイ/持続,168,11,25,9.375,0.42659438775510206,6.547619047619048,14.880952380952381
木幡巧也,中山,ダ,1200,ハイ/持続,237,9,35,8.79746835443038,0.46960209270335856,3.79746835443038,14.767932489451477
菊沢一樹,中山,ダ,1200,ハイ/持続,153,5,22,8.666666666666666,0.5160160645454763,3.2679738562091507,14.37908496732026
秋山稔樹,中山,ダ,1200,ハイ/持続,42,1,6,9.476190476190476,0.4553342490842491,2.380952380952381,14.285714285714285
佐々木大,中山,ダ,1200,ハイ/持続,79,3,11,9.39240506329114,0.45012171372930865,3.79746835443038,13.924050632911392
柴田善臣,中山,ダ,1200,ハイ/持続,121,3,16,8.561983471074381,0.5393216975861604,2.479338842975207,13.223140495867769
江田照男,中山,ダ,1200,ハイ/持続,208,10,27,8.879807692307692,0.5221528871769257,4.807692307692308,12.980769230769232
