場所,芝・ダ,距離,馬場状態,レース数,勝ち時計平均秒,勝ち上り3F平均,RPCI平均,平均1Fタイム,平均速度,Ave_3F平均,勝ち馬4角率平均,勝ち馬PCI平均,三着内上り3F平均,三着内4角率平均,三着内先行率_4角35以内,三着内差し追込率_4角60超,標準ペース判定,好走ゾーン,勝ち時計平均
中山,ダ,2400,不,7,153.21428571428572,37.471428571428575,51.371428571428574,12.768571428571429,56.395714285714284,38.58,0.3132797757797758,53.042857142857144,37.94285714285714,0.2781903281903282,66.66666666666666,4.761904761904762,標準〜やや上がり,前残り・先行優勢,2:33.2
中山,ダ,2400,稍,9,155.2,38.2,50.51111111111111,12.934444444444445,55.67888888888889,39.0,0.28196294446294445,52.15555555555555,38.7037037037037,0.2305299638632972,74.07407407407408,7.4074074074074066,標準〜やや上がり,前残り・先行優勢,2:35.2
中山,ダ,2400,良,53,156.21509433962262,38.698113207547166,50.20566037735849,13.01867924528302,55.31320754716981,39.17283018867924,0.18245863151523528,51.26792452830188,38.794968553459114,0.29767062078382833,67.29559748427673,10.69182389937107,標準〜やや上がり,前残り・先行優勢,2:36.2
中山,ダ,2400,重,9,154.94444444444446,38.455555555555556,49.400000000000006,12.914444444444445,55.76777777777778,38.830000000000005,0.3027659069325736,51.044444444444444,38.75555555555556,0.31841563786008226,59.25925925925925,14.814814814814813,やや速い,前残り・先行優勢,2:34.9
中山,ダ,2500,稍,2,163.8,39.45,49.4,13.105,54.945,39.265,0.11309523809523808,49.55,39.93333333333333,0.24206349206349206,66.66666666666666,0.0,やや速い,前残り・先行優勢,2:43.8
中山,ダ,2500,良,8,162.875,38.8625,50.0375,13.03,55.26,39.16125,0.15969967532467533,50.85,39.17916666666667,0.2697172619047619,66.66666666666666,4.166666666666666,標準〜やや上がり,前残り・先行優勢,2:42.9
中山,ダ,3200,稍,1,214.7,13.4,,13.42,53.66,,0.07142857142857142,,13.533333333333333,0.19047619047619047,100.0,0.0,不明,前残り・先行優勢,3:34.7
中山,ダ,3200,良,11,215.35454545454547,13.463636363636363,,13.460909090909091,53.49727272727273,,0.17779695052422326,,13.493939393939394,0.2466716784898603,75.75757575757575,6.0606060606060606,不明,前残り・先行優勢,3:35.4
中山,芝,1200,不,3,72.63333333333334,37.13333333333333,41.333333333333336,12.106666666666667,59.48,35.5,0.36239316239316244,45.6,37.37777777777777,0.43133903133903134,44.44444444444444,33.33333333333333,ハイ/持続,中間/混合,1:12.6
中山,芝,1200,稍,32,68.803125,34.51875,46.64375,11.4659375,62.7940625,34.284375,0.33961537594350094,49.371875,34.666666666666664,0.3465966180809931,57.291666666666664,13.541666666666666,やや速い,前残り・先行優勢,1:08.8
